title,artist,weeks,peak_rank,date,peak_year
Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart,10.0,27.0,1968-07-03,1968
Alice's Rock & Roll Restaurant,Arlo Guthrie,2.0,97.0,1969-12-10,1969
Alimony,Frankie Ford,2.0,97.0,1959-07-29,1959
All,James Darren,8.0,35.0,1967-01-11,1967
All About My Girl,Jimmy McGriff,11.0,50.0,1963-01-02,1963
All Alone Am I,Brenda Lee,15.0,3.0,1962-09-26,1962
All Along The Watchtower,The Jimi Hendrix Experience,9.0,20.0,1968-09-18,1968
All Cried Out,Dusty Springfield,7.0,41.0,1964-09-23,1964
All Day And All Of The Night,The Kinks,12.0,7.0,1964-12-23,1964
All God's Children Got Soul,Dorothy Morrison,1.0,95.0,1969-10-08,1969
All Grown Up,The Crystals,1.0,98.0,1964-07-29,1964
All I Could Do Was Cry,Etta James,15.0,33.0,1960-04-27,1960
All I Have To Do Is Dream,The Everly Brothers,12.0,14.0,1963-02-06,1963
All I Have To Offer You (Is Me),Charley Pride,5.0,91.0,1969-08-20,1969
All I Need,The Temptations,10.0,8.0,1967-04-26,1967
All I Really Want To Do,The Byrds,12.0,15.0,1965-06-30,1965
All I See Is You,Dusty Springfield,8.0,20.0,1966-09-14,1966
All In My Mind,Maxine Brown,12.0,19.0,1960-12-28,1960
All My Loving,The Beatles,6.0,45.0,1964-07-01,1964
All My Trials,Dick and DeeDee,3.0,89.0,1964-02-19,1964
All Night Long,Sandy Nelson,3.0,75.0,1962-07-11,1962
All Of Everything,Frankie Avalon,4.0,70.0,1961-02-22,1961
All Of My Life,Lesley Gore,6.0,71.0,1965-03-24,1965
All Or Nothing,Patti LaBelle And The Blue Belles,6.0,68.0,1965-12-01,1965
All Over Again,Johnny Cash,11.0,38.0,1958-10-01,1958
All Over The World,Nat King Cole,9.0,42.0,1963-02-27,1963
All Strung Out,Nino Tempo & April Stevens,8.0,26.0,1966-09-07,1966
All That I Am,Elvis Presley With The Jordanaires,8.0,41.0,1966-10-05,1966
All The Love I've Got,Marv Johnson,6.0,63.0,1960-06-08,1960
All These Things,The Uniques,2.0,97.0,1966-06-29,1966
All You Need Is Love,The Beatles,11.0,1.0,1967-07-19,1967
All Your Goodies Are Gone (The Loser's Seat),The Parliaments,7.0,80.0,1967-10-11,1967
Alley Cat,Bent Fabric and His Piano,18.0,7.0,1962-07-25,1962
Alley-Oop,Hollywood Argyles,15.0,1.0,1960-05-25,1960
Alligator Bogaloo,Lou Donaldson,4.0,93.0,1967-11-01,1967
